,index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label
113,125,"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y
114,126,The convention in BERT is:,No,No,n
115,127,TODO implement caching,Yes,Yes,y
116,128,TODO,Yes,Yes,n
117,129,(2) Blank lines between documents. Document boundaries are needed so,No,Yes,y
118,130,(2) Blank lines between documents. Document boundaries are needed so,No,Yes,y
119,131,The convention in BERT is:,No,No,n
120,132,"We \""pool\"" the model by simply taking the hidden state corresponding",No,Yes,y
121,133,The convention in BERT is:,No,No,n
122,134,"What we really want to return is \""Steve Smith\"".",No,No,y
123,135,Reorder columns 'idfs_month' and 'idfs_bin' to the last,No,Yes,y
124,136,list columns out,No,Yes,y
125,137,retrieve best state sequence in reverse using scores directly,No,Yes,y
126,138,below is ugly; yes; but I need the dictionary in the order above and intact,Yes,Yes,y
127,139,discard unused features,No,No,y
128,140,the 'feature_cell' record array has two columns: col 1 = actual vals; col 0 is just ftr names,No,Yes,n
129,141,discard unused features,Yes,No,y
130,142,the 'feature_cell' record array has two columns: col 1 = actual vals; col 0 is just ftr names,No,Yes,y
131,143,discard unused features,Yes,No,y
132,144,the 'feature_cell' record array has two columns: col 1 = actual vals;,No,Yes,n
133,145,discard unused features,Yes,No,y
134,146,retrieve best state sequence in reverse using scores directly,No,Yes,y
135,147,the 'feature_cell' record array has two columns: col 1 = actual vals;,No,Yes,y
136,148,discard unused features,Yes,No,y
137,149,make sure number of features i.e. columns is constant across feature matrices,No,Yes,y
138,150,If true; `todo` and `todoList` produce output; else they produce nothing.,No,Yes,y
139,151,Currently this is really gross with a lot of hard-coded constants.,Yes,Yes,y
140,152,# features_mat is has 536 columns,No,No,n
141,153,Hz bins are columns; i.e.; 'features',No,Yes,y
142,154,Hz bins are columns; i.e.; 'features',No,Yes,n
143,156,determine if we already figured out which features belong to that feature group.,No,No,n
144,157,finally use ftr_list_inds to get the actual columns we need from the,No,Yes,y
145,158,features array. Need to this because multiple columns might belong to,Yes,Yes,n
146,159,use 'feature_list_indices' from model_dict to get the actual columns,No,No,n
147,160,columns might belong to the same feature;,No,Yes,n
148,161,for todo in extract_config['todo_list']:,Yes,Yes,n
149,162,# make sure number of features i.e. columns is constant across feature matrices,No,Yes,y
150,163,make sure number of features i.e. columns is constant across feature matrices,No,Yes,y
151,164,better than overhead of having some error-checking function \/ making these classes?,Yes,Yes,y
152,165,This should really only happen when a hash is wrong,Yes,Yes,y
153,166,gross hack,Yes,Yes,y
154,167,and the number of columns should equal tbe number of feature indices,No,Yes,y
155,168,averaged over columns occupy several columns,No,No,n
156,169,"hacky platform-agnostic way to say \""if integer\""",No,Yes,y
157,170,probably doesn't matter but why introduce more noise?,No,No,n
158,171,make sure number of features i.e. columns is constant across feature matrices,No,Yes,y
159,172,"and because \""explicit is better than implicit\""",No,Yes,n
160,173,If true; `todo` and `todoList` produce output; else they produce nothing.,Yes,Yes,y
161,174,TODO this class should be a proper backend class,Yes,No,y
162,175,FIXME this should use store.collection,Yes,Yes,y
163,176,FIXME this looks somewhat unstable. currently we schedule by,Yes,Yes,y
164,177,FIXME return only at end of method.,Yes,Yes,y
165,178,we're out of index columns; let's look at columns,No,Yes,n
166,179,columns in frame,No,Yes,n
167,180,columns to sort by; defaults to not sorted,No,Yes,n
168,181,force columns -- on output add columns not present,No,Yes,y
169,182,FIXME inefficient. make MDataFrame a drop-in replacement for any numpy ndarray,Yes,Yes,y
170,183,list of column names => MDataFrame subset on columns,No,Yes,y
171,184,index columns,No,Yes,n
172,186,add a projection to keep accumulator columns,No,Yes,y
173,187,add projection of output columns to operator,No,Yes,y
174,188,unwind all columns if requested,No,Yes,y
175,189,see if we can get columns from metadata,No,Yes,y
176,190,if so we can specify the columns before getting the data,No,Yes,y
177,191,we don't have columns in metadata; get the data first,Yes,Yes,y
178,192,Mixin for configurable classes that work with connection files,No,Yes,y
179,193,This file will contain the IP; ports; and authentication key needed to connect,No,Yes,n
180,194,Session(Configurable) configuration,No,No,n
181,195,Sessions support configurable serialization via packer\/unpacker traits; and,No,Yes,y
182,196,The kernel manager class.  This is configurable to allow subclassing of the,No,Yes,n
183,197,FileManagerMixin(Configurable) configuration,No,No,n
184,198,The kernel spec class.  This is configurable to allow subclassing of the,No,Yes,n
185,199,To implement a model that supports strict validation,No,Yes,y
186,200,We decided to implement each method call explicitely in both,Yes,Yes,n
187,201,implement a generic method and task that passes the method and,No,Yes,n
188,202,documentation would become very unspecific. We think it is much,No,Yes,n
189,203,features. If need should arise we can still implement a generic,No,No,n
190,204,needed to get it to actually load the tasks (???),Yes,Yes,n
191,205,FIXME use an instance specific alias. requires that every access,Yes,No,y
192,206,connect forgets all connection settings upon disconnect WTF?!,Yes,Yes,y
193,207,TODO kept _make_metadata for backwards compatibility.,Yes,Yes,y
194,208,FIXME this may be a performance issue; use size stored on stats or metadata,Yes,Yes,y
195,209,create mongon indicies for data frame index columns,No,Yes,y
196,210,TODO ensure the same processing is applied in MDataFrame,Yes,Yes,y
197,211,TODO this method should always use a MDataFrame disregarding lazy,Yes,Yes,y
198,212,#NAME?,No,Yes,n
199,213,get only projected columns,No,No,y
200,214,meta_columns is {origin_column: stored_column},No,No,n
201,215,restore columns to original name,No,Yes,y
202,216,however preserve dunder '__<foo>' names ss columns,No,Yes,y
203,217,# FIXME this does not work,Yes,No,n
204,218,FIXME we have to convert MongoDB dayofweek to Pandas dt.dayofweek,Yes,No,n
205,219,FIXME this is actually wrong; see df.quantile([.1; .2]),Yes,Yes,n
206,220,#NAME?,No,Yes,n
207,221,#NAME?,No,Yes,n
208,222,TODO ignore errors; issue warning,Yes,No,y
209,223,hack to localize metadata,Yes,Yes,y
210,224,fix because local Metadata object cannot be pickled,No,Yes,y
211,225,FIXME this is a hack to enable get_client_config,Yes,No,y
212,226,override to implement model saving,No,Yes,y
213,227,override to implement model loading,No,Yes,y
214,228,override to implement model saving,No,Yes,y
215,229,FIXME this will fail in tf 2.0; see https:\/\/github.com\/tensorflow\/tensorflow\/issues\/24412#issuecomment-491980177,Yes,Yes,y
216,230,FIXME this is not working yet,Yes,Yes,y
217,231,TODO add obj signing so that only trustworthy sources can put functions,Yes,Yes,y
218,232,fix because local Metadata object cannot be pickled,Yes,Yes,y
219,233,-- this is a hack to easily support python 2\/3 client\/server mix,Yes,No,y
220,234,FIXME enable cache by arguments (mnemonic) @cached(seconds=3600),Yes,No,y
221,235,FIXME should work with json (the default celery serializer),Yes,No,y
222,236,FIXME get actual datetime,Yes,No,y
223,238,FIXME sometimes it takes long for the nb to appear. why?,Yes,Yes,y
224,239,FIXME sometimes it takes long for the nb to appear why?,Yes,Yes,y
225,240,-- why can't we pass the Dataset directly? All objects must be executed on the same,Yes,Yes,n
226,241,TODO do some more intelligent caching; i.e. by client\/auth,Yes,Yes,y
227,242,TODO move all of the specifics to backend implementations,Yes,Yes,y
228,243,TODO support DST-crossing datetime objects. use UTC to avoid the issue,Yes,Yes,y
229,244,is not needed. loading means this happens at runtime startup,No,Yes,y
230,245,FIXME this is a mess,Yes,Yes,y
231,246,TODO refactor to seperate method \/ mapped translation functions,Yes,Yes,y
232,247,fix tensorflow pulling wrong version of absl-py;,No,Yes,y
233,248,TODO associate meta.gridfile with actual fs file,Yes,Yes,y
234,249,TODO if head(); tail(); query(); .loc\/iloc should return a new MDataFrame instance to avoid having a reset need,Yes,Yes,y
235,250,TODO introduce a puggable filetype processing backend to do this,Yes,Yes,y
236,251,TODO make this a SystemError so that OmegaDeferredIstance.setup reverts to proper defaults,Yes,Yes,y
237,252,#NAME?,No,Yes,n
238,253,- This `environment` configurable,No,Yes,n
239,254,The `environment` configurable should be set by JupyterHub administrators to,No,Yes,n
240,255,from the configurable proxy.,No,Yes,n
241,256,of creation. Open to better ways.,No,Yes,n
242,257,TODO implement drop to support deletion of specific versions,Yes,Yes,y
243,258,TODO refactor to promote of python native data backend,Yes,Yes,y
244,259,TODO replace result backend with redis or mongodb,Yes,Yes,y
245,261,#NAME?,No,Yes,n
246,262,- This `environment` configurable,No,Yes,n
247,263,The `environment` configurable should be set by JupyterHub administrators to,No,Yes,n
248,264,from the configurable proxy.,No,Yes,n
249,265,TODO replace mp with billiard,Yes,Yes,y
250,266,TODO this fails and should not,Yes,Yes,y
251,267,TODO move this implementation to a proper OmegaStore backend or mixin,Yes,No,y
252,268,TODO enable mixins,Yes,Yes,y
253,269,TODO enable custom backends,Yes,No,y
254,270,Dummy predictions and trues are needed in Keras (see https:\/\/github.com\/Smith42\/keras-relativistic-gan).,No,Yes,n
255,272,TODO: Tensorflow 1.3 doesn't support broadcasting in``tf.matmul`` and,Yes,Yes,y
256,273,As a temporary workaround; we are using ``tf.einsum`` for the matrix,Yes,Yes,n
257,274,TODO: ``full_cov`` True would return a ``fvar`` of shape N x N x D x D;,Yes,Yes,y
258,275,This corresponds to a boundary condition that we must fix manually.,Yes,Yes,y
259,276,This corresponds to a boundary condition that we must fix manually.,Yes,Yes,y
260,277,Slicing is NOT needed here. The desired behaviour is to *still* return an NxMxD matrix. As even when the,Yes,Yes,y
261,278,Slicing is NOT needed here. The desired behaviour is to *still* return an NxMxD matrix.,Yes,Yes,y
262,279,TODO: wait for eager fix this bug.,Yes,Yes,y
263,280,check for duplicates: start numbering if needed,No,Yes,y
264,281,TODO: implement this,Yes,Yes,y
265,282,TODO: Implement this,Yes,Yes,y
266,283,Workaround as existing tf.Variable cannot be retrieved back with tf.get_variable,Yes,Yes,y
267,284,Workaround as existing tf.Variable cannot be retrieved back with tf.get_variable,Yes,Yes,y
268,285,Workaround as existing tf.Variable cannot be retrieved back with tf.get_variable,Yes,Yes,y
269,286,This is a disaster; adding related tickers does not improve accuracy,Yes,Yes,y
270,287,best to pass back copies instead of reference.\t\t\t,Yes,Yes,y
271,288,This is a disaster; adding related tickers does not improve accuracy,Yes,Yes,y
272,289,Sort columns alphabetical,No,Yes,y
273,290,high performer; recently doing better,No,Yes,y
274,291,TCR: idx = df.index[df.index.get_loc(dt; method='nearest')] this would be better,Yes,Yes,y
275,292,idx = df.index[df.index.get_loc(dt; method='nearest')]  TCR: This would be better,Yes,Yes,y
276,293,"Combines trending model with targeted \""swing\"" buys; attempting to gain better deals by anticipating daily price fluctuations",No,Yes,y
277,294,ReEvaluationInterval is how often to re-evaluate our choices; ideally this should be very short and not matter; otherwise the date selection is biased.,Yes,Yes,n
278,296,TODO,Yes,Yes,n
279,297,and then averaged together. This provides significantly better performance than treating the probability,No,No,n
280,298,exit loop when episode ends,No,No,n
281,299,exit loop when episode ends,No,No,n
282,300,"ph_burst_search = \""all_ph\""  # TODO: use broader EXCITATION selection in",Yes,No,y
283,301,Needed for alternation hist,No,Yes,y
284,302,Fix=[1;1;0;0;0]),No,No,y
285,303,TODO: Solve the problem of imports without using run -i,Yes,Yes,y
286,304,'-> THUS we need to swap D and A to maintain the convention D first,Yes,Yes,y
287,305,was correct and NO remap is needed for those measurement.,No,Yes,n
288,306,recomposed in ph_times and det. (NB: Old not very efficient approach),Yes,Yes,y
289,307,Fix a threshold,No,Yes,y
290,308,TODO: check bg rate calculation (seems quite a bit off),Yes,Yes,y
291,309,Nice 1 number very sim. to Arial,No,No,n
292,310,apparently does not work,Yes,No,y
293,311,precompute the offset values for better performance,Yes,No,y
294,312,"\""\""\"" || Hack to allow GUI selection of bursts in a 2D ALEX histogram. ||  || See hist2d_alex() in burst_plot.py. || \""\""\""",Yes,Yes,y
295,313,Convert both Lim\/Ph_p and mburst; as they are both needed,Yes,Yes,y
296,314,#TODO: save prefix; compression and size inside the group,Yes,Yes,y
297,315,"\""\""\"" || This folder contains one file per each supported data file.  ||  || Each file contains the binary load and preprocessing functions needed for  || the specific format. Functions defined here are used by loader functions  || in `loaders.py` to properly initialize a `Data()` variable. || \""\""\""",No,Yes,n
298,316,TODO: implement automatic threshold computation,Yes,Yes,y
299,317,So getting all photons (DA) with this mask is efficient,No,No,n
300,318,Workaround for open-file dialog in IPython Notebook,No,No,n
301,319,Workaround for open-file dialog in IPython Notebook,No,No,n
302,320,Workaround for open-file dialog in IPython Notebook,No,No,n
303,321,TODO: save also fname,Yes,No,y
304,323,Workaround for open-file dialog in IPython Notebook,No,No,n
305,324,Workaround for open-file dialog in IPython Notebook,No,No,n
306,325,Workaround for open-file dialog in IPython Notebook,No,No,n
307,326,TODO Handle ph_times in PyTables files,Yes,Yes,y
308,327,robust in cases where setup.py was invoked in some weird way (e.g. pip),No,No,n
309,328,maybe improved later,Yes,No,y
310,329,unparseable. Maybe git-describe is misbehaving?,No,Yes,n
311,330,maybe improved later,Yes,No,y
312,331,unparseable. Maybe git-describe is misbehaving?,No,Yes,n
313,332,Temporary hack to workaround issue,Yes,No,y
314,333,Custom functions needed for 2CDE,No,Yes,n
315,334,"\""\""\"" || Script to execute notebooks in a folder; unless their name || starts with '_' or ends with '-out'. ||  || The executed notebooks are saved with a '-out' suffix. ||  || Usage: ||  ||     nbrun.py notebook_folder ouput_folder ||      || \""\""\""",No,No,n
316,335,Add missing gap columns,Yes,Yes,y
317,336,TODO,Yes,Yes,n
318,337,If true; `todo` and `todoList` produce output; else they produce nothing.,Yes,Yes,n
319,338,NOTE TODO Sometimes 'res' is nan.,Yes,Yes,n
320,339,TODO This is a pretty hefty restriction. Why was this necessary?,Yes,No,y
321,341,TODO: Add exception handling if parent directory of log_path does not exist,Yes,Yes,y
322,342,TODO:,Yes,No,n
323,343,1) fix URLS,Yes,Yes,y
324,344,TODO: get action_source array,Yes,No,y
325,345,TODO: map actions to colours so can map to palette[i],Yes,Yes,y
326,346,TODO: get action_source array,Yes,No,y
327,347,TODO: map actions to colours so can map to palette[i],Yes,Yes,y
328,348,TODO: get action_source array,Yes,No,y
329,349,TODO: map actions to colours so can map to palette[i],Yes,Yes,y
330,350,todo: show complete name,Yes,Yes,y
331,351,todo: use multi-gpu,Yes,No,y
332,352,todo (visualize),Yes,No,y
333,353,If true; `todo` and `todoList` produce output; else they produce nothing.,No,Yes,n
334,354,TODO: integrate codes with trans_from_files_beam,Yes,Yes,y
335,355,FIXME: Remove this hard coding after debugging.,Yes,Yes,y
336,356,TODO: Only use the v5 path!,Yes,No,y
337,357,TODO: Refactor _read() func.,Yes,Yes,y
338,358,TODO: Fix this file path argument; it is not used and misleading.,Yes,Yes,y
339,359,Import any additional modules needed (to register custom classes).,No,Yes,y
340,360,Broadcasting will correctly repeat the x\/y factors as needed;,No,Yes,y
341,361,TODO: TO experiment on Japanese SQuAD dataset; you first need to install mecab-python3 `<https:\/\/pypi.org\/project\/mecab-python3\/>`_.,Yes,Yes,n
342,362,TODO: You need to fix some paths.,Yes,No,y
343,363,implement more substrategies here,Yes,No,y
344,364,if triplet_sem better than triplet,No,No,n
345,365,implement more substrategies here,Yes,No,y
346,366,TODO: add ip and port as cli?,Yes,Yes,y
347,367,meteor = calc_meteor(path_merged_refs; path_hyp; n_refs=n_refs) # TODO,Yes,Yes,n
348,368,"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n
349,369,"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n
350,370,"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n
351,371,"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n
352,372,"\""\""\"" || Created on Tue Sep 25 18:21:51 2018 ||  || @author: Emmanouil Theofanis Chourdakis || \""\""\""",No,Yes,n
353,373,"\""\""\"" || Created on Wed Sep 26 13:38:38 2018 ||  || @author: Emmanouil Theofanis Chourdakis ||  || Problog module for extracting information from a sentence using clausiepy ||  || \""\""\""",No,Yes,n
354,374,"\""\""\"" || Created on Wed Sep 26 13:38:38 2018 ||  || @author: Emmanouil Theofanis Chourdakis ||  || Problog module for extracting information from a sentence using clausiepy ||  || \""\""\""",No,Yes,n
355,375,''' || Xor Dataset Generator : Python 3 || Author: Abhishek Munagekar || ''',No,Yes,n
356,376,TODO: Add batch size and other properties,Yes,Yes,y
357,377,TODO: Add batch size and other properties,Yes,Yes,y
358,378,TODO: Add batch size and other properties,Yes,Yes,y
359,379,NOTE:Graph Isn't initialized Properly Needsd to be fixed,Yes,Yes,y
360,380,TODO: Add batch size and other properties,Yes,Yes,y
361,381,TODO : Print the gbest stuff once done,Yes,No,y
362,382,TODO : Added Printing Control,Yes,No,y
363,383,Useful if the network needs very fine tuning towards the end,No,Yes,y
364,384,TODO: Add try catch block around the cast,Yes,Yes,y
365,385,TODO : Print Network Stats here,Yes,No,y
366,386,TODO : Print Network Stats here,Yes,No,y
367,387,NOTE: Local Best Version Under Development to be integrated with clinn.py,Yes,Yes,y
368,388,TODO : Add Printing Control,Yes,No,y
369,389,Useful if the network needs very fine tuning towards the end,No,Yes,y
370,390,Temporary Fix,Yes,Yes,y
371,391,fix for Python 3.,No,Yes,y
372,392,Adjust epochs and layers as needed,Yes,Yes,y
373,393,TODO: evaluating on 500 images. Set to 0 to evaluate on all images.,Yes,No,y
374,394,TODO: paper uses 512,Yes,Yes,n
375,395,Improve performance by trimming to top anchors by score,Yes,No,y
376,396,Pad if needed,No,No,y
377,397,TF doesn't have a way to sort by two columns; so merge them and sort.,Yes,Yes,y
378,398,TODO: Remove zero padding from gt_boxes and gt_masks,Yes,Yes,y
379,399,TODO: Optimize by supporting batch > 1,Yes,No,y
380,400,TODO: Rename target_bbox to target_deltas for clarity,Yes,No,y
381,401,TODO: better to keep them normalized until later,Yes,Yes,y
382,402,TODO: Filter out boxes with zero area,Yes,No,y
383,403,TODO: track where float64 is introduced,Yes,No,n
384,405,TODO: use smooth_l1_loss() rather than reimplementing here,Yes,Yes,y
385,406,TODO: Update this line to work with batch > 1. Right now it assumes all,Yes,Yes,y
386,407,TODO: To hard example mine or not to hard example mine; that's the question,Yes,Yes,y
387,408,TODO: If multiple anchors have the same IoU match all of them,Yes,Yes,n
388,409,For positive anchors; compute shift and scale needed to transform them,No,No,n
389,410,TODO: use box_refinment() rather that duplicating the code here,Yes,No,y
390,411,Append two columns of zeros. TODO: needed?,Yes,No,y
391,413,TODO: verify that this handles zero padded ROIs,Yes,Yes,y
392,414,TODO: clean up (use tf.identify if necessary),Yes,No,y
393,415,TODO: let DetectionLayer return normalized coordinates to avoid,Yes,Yes,y
394,416,TODO: move resizing to mold_image(),Yes,Yes,y
395,418,TODO: Build and use this function to reduce code duplication,Yes,Yes,y
396,419,TODO: cleaner to do zero unpadding upstream,Yes,Yes,y
397,420,In the long run; it's more efficient to modify the code to support large,Yes,Yes,y
398,421,TODO: Replace with matplotlib equivalent?,Yes,No,y
399,422,Work-around for Windows: Keras fails on Windows when using,Yes,Yes,y
400,423,TODO: better to keep them normalized until later,Yes,Yes,y
401,424,TODO: Filter out boxes with zero area,Yes,No,y
402,425,TODO: track where float64 is introduced,Yes,No,y
403,426,TODO: track where float64 is introduced,Yes,No,y
404,427,TODO: will be removed in a future update in favor of augmentation,Yes,Yes,y
405,428,A hack to get around Keras's bad support for constants,Yes,Yes,y
406,429,TODO: Remove this after the notebook are refactored to not use it,Yes,No,y
407,430,TODO: cleaner to do zero unpadding upstream,Yes,Yes,y
408,431,todo,Yes,No,n
409,432,TODO: can this be optimized to avoid duplicating the anchors?,Yes,Yes,y
410,433,The multiple of 64 is needed to ensure smooth scaling of feature,No,No,n
411,434,TODO: can this be optimized to avoid duplicating the anchors?,Yes,Yes,y
412,435,TODO: remove in about 6 months (end of 2018),Yes,Yes,y
413,436,The if condition is needed to support VIA versions 1.x and 2.x.,No,Yes,y
414,437,Download COCO trained weights from Releases if needed,No,Yes,y
415,438,TODO: Upgrade python-ucto,Yes,Yes,y
416,439,TODO,Yes,Yes,n
