index,Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label,spaCy_Predicted_MLTD_label_BAL,spaCy_Predicted_MLTD_label_AAL
27713,TODO(sonots): Implement for ChainerX,,Yes,Yes,Yes,Yes
6077,TODO: handle non-Series input,,No,Yes,Yes,Yes
23061,TODO: protect against insertion,,No,Yes,Yes,Yes
6396,an SQL database with columns:,,,Yes,Yes,Yes
23947,you have to somehow get this directly dumped to the card; see comment above,,Yes,Yes,Yes,Yes
11766,Gensim also contains `efficient utility functions <http:\/\/radimrehurek.com\/gensim\/matutils.html>`_,,,No,Yes,Yes
11230,TODO(trandustin): Depend on github's ed2 for indexing RVs. This is a hack.,,Yes,Yes,Yes,Yes
26358,"\""\""\"" || ========================================================== || Porto Seguro: balancing samples in mini-batches with Keras || ========================================================== ||  || This example compares two strategies to train a neural-network on the Porto || Seguro Kaggle data set [1]_. The data set is imbalanced and we show that || balancing each mini-batch allows to improve performance and reduce the training || time. ||  || References || ---------- ||  || .. [1] https:\/\/www.kaggle.com\/c\/porto-seguro-safe-driver-prediction\/data ||  || \""\""\""",,Yes,No,Yes,Yes
18625,Maybe we need a stopping criteria based on the amount of,,,Yes,Yes,Yes
39540,Workspace needed?,,,Yes,Yes,Yes
26712,'inception_v3' : [CntkEmit; TensorflowEmit; KerasEmit; PytorchEmit; MXNetEmit; CoreMLEmit]; # TODO: Caffe,,Yes,Yes,No,No
25707,different policies will implement different backend selection policies,,,Yes,Yes,Yes
14544,TODO: add a check that ensures that cluster centers maintain their,,Yes,Yes,Yes,Yes
32906,clean(path; columns),,No,Yes,Yes,Yes
8622,rule) FIXME,,,Yes,Yes,Yes
18743,TODO: implement a cython version to avoid the memory copy of the,,Yes,Yes,Yes,Yes
33919,FIXME:,,No,Yes,Yes,Yes
39271,XXX : should be improved later,,,Yes,Yes,Yes
23025,HACK!!!,,Yes,Yes,Yes,Yes
9814,import train_deep_classifier  # NEED TO FIX blocks IMPORT,,,Yes,Yes,Yes
40193,XXX should put a good list of default colors into defaults.py,,,Yes,Yes,Yes
12148,TO-DO: 'mad': Median Absolute Deviation to be added,,Yes,Yes,Yes,Yes
37865,"\""\""\"" || This script inspects the images used by the chart and updates Chart.yaml's || annotations. Specifically; an annotation read by artificathub.io. For more || information; see this issue describing why we want this: ||  || https:\/\/github.com\/jupyterhub\/zero-to-jupyterhub-k8s\/issues\/2044 ||  || FIXME: This implementation is done quick and dirty by appending to Chart.yaml ||        instead of loading it; updating it; and writing content back. || \""\""\""",,No,Yes,No,No
36827,TODO: rename,,No,Yes,Yes,Yes
16676,Convention is to return scalars instead of 0d arrays,,,Yes,Yes,Yes
4090,TODO Add recall metrics to TF1 in another cl.,,Yes,Yes,Yes,Yes
30830,todo: tf2 debugging only,,No,Yes,Yes,Yes
22012,TODO: rename here,,Yes,Yes,Yes,Yes
33298,Create columns for export to SQL Server,,No,Yes,Yes,Yes
3184,TODO: this is just a temporary solution for handling ngrams; figure out a better solution,,Yes,Yes,Yes,Yes
31096,todo: add read pickle; fwf; html; father; parquet; orc; sas; spss; stata,,Yes,Yes,No,No
23509,Verify forecast(avg_foo) feature; must be const noise centered around value=10,,Yes,Yes,Yes,Yes
19234,objects; as it ends up being too fragile,,No,Yes,Yes,Yes
5378,columns names as string constants,,,Yes,Yes,Yes
18193,TODO get rid of this deferred import:,,,Yes,Yes,Yes
21157,"warn(\""get_output() was called with unused kwargs:\ || \\t%s\""",,,Yes,Yes,Yes
14885,"TODO: New method name should be something like: \""__dynamic_pipeline_method_{}\"".format(step[1].__name__ or i)",,,Yes,Yes,Yes
22037,TODO put it in modifiers,,No,Yes,Yes,Yes
25090,really want to.  Not sure why you would ever want to in this case; this is just testing,,,Yes,Yes,Yes
25628,FIXME: what do magic constants mean? (0.4; 7),,Yes,Yes,Yes,Yes
8150,Sample root node (choose one of the classes) TODO: check what happens if C=1,,No,Yes,Yes,Yes
19492,workaround since _set_intercept will cast self.coef_ into float64,,,Yes,Yes,Yes
13542,todo: specify the possible exception,,,Yes,Yes,Yes
11062,TODO(avaswani): Maybe scale the embeddings flowing out of the experts.,,,Yes,Yes,Yes
3381,TODO: Contribute these to MXNet?  For now it appears that registered activation types must be implemented in C++.,,No,Yes,Yes,Yes
25913,TODO (Alex) :https:\/\/github.com\/ray-project\/ray\/pull\/9346,,No,Yes,Yes,Yes
18100,XXX: handling Nan is important here.,,,Yes,Yes,Yes
1458,TODO: xp and value assign dynamically,,Yes,Yes,Yes,Yes
38782,XXX This is a cop-out -- we should validate,,No,Yes,Yes,Yes
13430,TODO: Deprecated in v0.10.0. Remove this method in v1.0,,,Yes,Yes,Yes
29712,TODO: render in template,,No,Yes,Yes,Yes
2363,compute phase if needed,,,Yes,Yes,Yes
25754,"TODO: ' Tensorboard example: {\""log_dir\"": \""\/tmp\/logs\/\""}.'",,Yes,Yes,Yes,Yes
20575,TO-DO: calc correlation between primary and synonymous p-values,,No,Yes,Yes,Yes
31709,"\""Decode\"" stage - Reads operands (if needed) and puts into the specific data structures",,,Yes,Yes,Yes
29175,Recompute Wx on backprop to save memory (perhaps redo patches as well?),,No,Yes,Yes,Yes
19231,XXX: some transformers are transforming the input,,,Yes,Yes,Yes
14070,including padding if padding is needed,,,Yes,Yes,Yes
19848,TODO : Any other options,,,Yes,Yes,Yes
34412,TODO(sublee): Move to above of Skippable class for better read flow.,,Yes,Yes,Yes,Yes
31615,coords should be computed at run-time; maybe with a trigger type system in,,Yes,Yes,Yes,Yes
