Unnamed: 0,repo,filename,Commit,Comment,link,MLTD
10,ShuangLI59/person_search,caffe-fast-rcnn/python/detect.py,52350f294541ceee9cb5b3c04ab728a7babf0bed,"\""\""\"" || detector.py is an out-of-the-box windowed detector || callable from the command line. ||  || By default it configures and runs the Caffe reference ImageNet model. || Note that this model was trained for image classification and not detection; || and finetuning for detection can be expected to improve results. ||  || The selective_search_ijcv_with_python code required for the selective search || proposal mode is available at ||     https:\/\/github.com\/sergeyk\/selective_search_ijcv_with_python ||  || TODO: || - batch up image filenames as well: don't want to load all of them into memory || - come up with a batching scheme that preserved order \/ keeps a unique ID || \""\""\""",https://github.com/ShuangLI59/person_search/commit/52350f294541ceee9cb5b3c04ab728a7babf0bed,Yes
11,explosion/thinc,thinc/neural/_classes/window_encode.py,0e2df2a6d000ed5c7a81f19a710338fb3adaab59,TODO: Implement fine-tuning,https://github.com/explosion/thinc/commit/0e2df2a6d000ed5c7a81f19a710338fb3adaab59,Yes
12,chrislit/abydos,abydos/phones.py,6da092970e952341c60ab024a4e35c36a820f239,TODO: finish implementation\/testing\/tuning,https://github.com/chrislit/abydos/commit/6da092970e952341c60ab024a4e35c36a820f239,No
13,chrislit/abydos,abydos/phones/_phones.py,0186998d684753e070edf1fdc124aaa56133db27,TODO: finish implementation\/testing\/tuning,https://github.com/chrislit/abydos/commit/0186998d684753e070edf1fdc124aaa56133db27,No
14,biolab/orange3,Orange/__init__.py,5cf6b70c5115524f48b8f3eb9a2ce2632ebe4933,"\""\""\"" || _import(\""data.sample\"") || _import(\""data.outliers\"") || _import(\""data.preprocess\"") || _import(\""data.preprocess.scaling\"") || _import(\""data.utils\"") || _import(\""data.discretization\"") || _import(\""data.continuization\"") || _import(\""data.filter\"") || _import(\""data.imputation\"") ||  || _import(\""feature\"") || _import(\""feature.construction\"") || _import(\""feature.construction.functionDecomposition\"") || _import(\""feature.construction.univariate\"") || _import(\""feature.discretization\"") || _import(\""feature.imputation\"") || _import(\""feature.scoring\"") || _import(\""feature.selection\"") ||  || _import(\""network\"") ||  || _import(\""stat\"") ||  || _import(\""statistics\"") || _import(\""statistics.estimate\"") || _import(\""statistics.contingency\"") || _import(\""statistics.distribution\"") || _import(\""statistics.basic\"") || _import(\""statistics.evd\"") ||  || _import(\""classification\"") || _import(\""classification.tree\"") ||  || _import(\""classification.rules\"") ||  || _import(\""classification.lookup\"") || _import(\""classification.bayes\"") || _import(\""classification.svm\"") || _import(\""classification.logreg\"") || _import(\""classification.knn\"") || _import(\""classification.majority\"") ||  || _import(\""tuning\"") ||  || _import(\""projection\"") || _import(\""projection.linear\"") || _import(\""projection.mds\"") || _import(\""projection.som\"") ||  || _import(\""ensemble\"") || _import(\""ensemble.bagging\"") || _import(\""ensemble.boosting\"") || _import(\""ensemble.forest\"") || _import(\""ensemble.stacking\"") ||  || _import(\""regression\"") || _import(\""regression.base\"") || _import(\""regression.earth\"") || _import(\""regression.lasso\"") || _import(\""regression.linear\"") || _import(\""regression.mean\"") || _import(\""regression.pls\"") || _import(\""regression.tree\"") ||  || _import(\""multitarget\"") || _import(\""multitarget.tree\"") ||  || _import(\""multilabel\"") || _import(\""multilabel.multibase\"") || _import(\""multilabel.br\"") || _import(\""multilabel.lp\"") || _import(\""multilabel.mlknn\"") || _import(\""multilabel.brknn\"") || _import(\""multilabel.mulan\"") ||  || _import(\""associate\"") ||  || _import(\""distance\"") ||  || _import(\""wrappers\"") ||  || _import(\""featureConstruction\"") || _import(\""featureConstruction.univariate\"") || _import(\""featureConstruction.functionDecomposition\"") ||  || _import(\""evaluation\"") || _import(\""evaluation.scoring\"") || _import(\""evaluation.testing\"") ||  || _import(\""clustering\"") || _import(\""clustering.kmeans\"") || _import(\""clustering.hierarchical\"") || _import(\""clustering.consensus\"") ||  || _import(\""misc\"") ||  || _import(\""utils\"") #TODO hide utils from the user || _import(\""utils.environ\"") || _import(\""utils.counters\"") || _import(\""utils.addons\"") || _import(\""utils.render\"") || _import(\""utils.serverfiles\"") ||  || _import_addons() || \""\""\""",https://github.com/biolab/orange3/commit/5cf6b70c5115524f48b8f3eb9a2ce2632ebe4933,No
15,Tencent/PocketFlow,learners/nonuniform_quantization/learner.py,82244d9db61f0cf6f28c3d2e31f94b057ce6e623,TODO: add layerwise finetuning. working not very weill,https://github.com/Tencent/PocketFlow/commit/82244d9db61f0cf6f28c3d2e31f94b057ce6e623,Yes
16,Tencent/PocketFlow,learners/uniform_quantization/learner.py,82244d9db61f0cf6f28c3d2e31f94b057ce6e623,add layerwise finetuning. TODO: working not very well,https://github.com/Tencent/PocketFlow/commit/82244d9db61f0cf6f28c3d2e31f94b057ce6e623,Yes
17,chainer/chainer,chainer/links/normalization/batch_normalization.py,d518feb1ee563c9ec5dc22d6fb5a1481fe3561b1,(TODO: mkusumoto) Test finetuning in recomputation.,https://github.com/chainer/chainer/commit/d518feb1ee563c9ec5dc22d6fb5a1481fe3561b1,Yes
18,NervanaSystems/neon,neon/backends/nervanagpu.py,3497dcc8bb6200f2ce073b61bd6e5ad599f23141,TODO: Perhaps I'll add an autotuning mode.,https://github.com/NervanaSystems/neon/commit/3497dcc8bb6200f2ce073b61bd6e5ad599f23141,Yes
19,alvations/pywsd,lesk.py,970ed2b288d3d82f880ab8d4ae63c233211d8b3d,"'' || #TODO: various stem \/ lemmatizers. || from nltk.stem import WordNetLemmatizer || wnl = WordNetLemmatizer() || def stem(word; option=\""wnlemma\"") ||   if option == \""wnlemma\"": ||     return wnl.lemmatize(word) ||   if option == \""porter\"": ||     return porter.stem(word) || '''",https://github.com/alvations/pywsd/commit/970ed2b288d3d82f880ab8d4ae63c233211d8b3d,Yes
20,alvations/pywsd,pywsd/utils.py,802c094aa3b0b97f9fa8d32d8f9379d5cb0329e3,"'' || #TODO: various stem \/ lemmatizers. || from nltk.stem import WordNetLemmatizer || wnl = WordNetLemmatizer() || def stem(word; option=\""wnlemma\"") ||   if option == \""wnlemma\"": ||     return wnl.lemmatize(word) ||   if option == \""porter\"": ||     return porter.stem(word) || '''",https://github.com/alvations/pywsd/commit/802c094aa3b0b97f9fa8d32d8f9379d5cb0329e3,Yes
21,Rostlab/nalaf,nalaf/download_data.py,13bf86d5973aa24fc75f93b73571308700bc94c3,TODO download non-packaged [biolemmatizer-core-1.2-jar-with-dependencies.jar](https:\/\/github.com\/Rostlab\/nalaf\/blob\/develop\/nalaf\/data\/biolemmatizer-core-1.2-jar-with-dependencies.jar),https://github.com/Rostlab/nalaf/commit/13bf86d5973aa24fc75f93b73571308700bc94c3,No
22,explosion/spaCy,spacy/language.py,e5d9eaf79c5c935b4553c5ede31de383571fe0dc,TODO: Will be replaced when the lemmatizer becomes a pipeline component,https://github.com/explosion/spaCy/commit/e5d9eaf79c5c935b4553c5ede31de383571fe0dc,Yes
23,explosion/spaCy,spacy/language.py,0cddb0dbe9b9af85bb017393ec017a16f2acdaec,TODO: Will be replaced when the lemmatizer becomes a pipeline component,https://github.com/explosion/spaCy/commit/0cddb0dbe9b9af85bb017393ec017a16f2acdaec,Yes
24,explosion/spaCy,spacy/language.py,e257e66ab908e289b64976558f843956376923d5,TODO: Will be replaced when the lemmatizer becomes a pipeline component,https://github.com/explosion/spaCy/commit/e257e66ab908e289b64976558f843956376923d5,Yes
25,GilesStrong/lumin,lumin/nn/models/helpers.py,af0cbd5bb81072384b592230616fd97f8f8f1734,TODO: load pretrained embeddings to check sizes,https://github.com/GilesStrong/lumin/commit/af0cbd5bb81072384b592230616fd97f8f8f1734,No
26,noxouille/rt-mrcnn,model.py,2368d206f079adf1bfe7ccb23824d5d18c22e031,TODO: support training mode?,https://github.com/noxouille/rt-mrcnn/commit/2368d206f079adf1bfe7ccb23824d5d18c22e031,Yes
27,shahrukhqasim/TIES-2.0,python/models/basic_model.py,8daa8c380f58759ebd59daf1304bf40eb40371dd,TODO: Fix training parameter,https://github.com/shahrukhqasim/TIES-2.0/commit/8daa8c380f58759ebd59daf1304bf40eb40371dd,Yes
28,Seanforfun/GMAN_Net_Haze_Removal,DehazeNet/dehazenet_eval.py,ab7d09ca84b7bba44924e1db3bdd5071aa693393,TODO Restore our CNN from trained data,https://github.com/Seanforfun/GMAN_Net_Haze_Removal/commit/ab7d09ca84b7bba44924e1db3bdd5071aa693393,Yes
29,sshleifer/object_detection_kitti,slim/models/model_deploy.py,a5c4fd06d21e85a231ec05cc5305478a6c2d6a73,"\""\""\""Deploy Slim models across multiple clones and replicas. ||  || # TODO(sguada) docstring paragraph by (a) motivating the need for the file and || # (b) defining clones. ||  || # TODO(sguada) describe the high-level components of model deployment. || # E.g. \""each model deployment is composed of several parts: a DeploymentConfig; || # which captures A; B and C; an input_fn which loads data.. etc ||  || To easily train a model on multiple GPUs or across multiple machines this || module provides a set of helper functions: `create_clones`; || `optimize_clones` and `deploy`. ||  || Usage: ||  ||   g = tf.Graph() ||  ||   # Set up DeploymentConfig ||   config = slim.DeploymentConfig(num_clones=2; clone_on_cpu=True) ||  ||   # Create the global step on the device storing the variables. ||   with tf.device(config.variables_device()): ||     global_step = slim.create_global_step() ||  ||   # Define the inputs ||   with tf.device(config.inputs_device()): ||     images; labels = LoadData(...) ||     inputs_queue = slim.data.prefetch_queue((images; labels)) ||  ||   # Define the optimizer. ||   with tf.device(config.optimizer_device()): ||     optimizer = tf.train.MomentumOptimizer(FLAGS.learning_rate; FLAGS.momentum) ||  ||   # Define the model including the loss. ||   def model_fn(inputs_queue): ||     images; labels = inputs_queue.dequeue() ||     predictions = CreateNetwork(images) ||     slim.losses.log_loss(predictions; labels) ||  ||   model_dp = slim.deploy(config; model_fn; [inputs_queue]; optimizer=optimizer) ||  ||   # Run training. ||   slim.learning.train(model_dp.train_op; my_log_dir; ||                       summary_op=model_dp.summary_op) ||  || The Clone namedtuple holds together the values associated with each call to || model_fn: ||   * outputs: The return values of the calls to `model_fn()`. ||   * scope: The scope used to create the clone. ||   * device: The device used to create the clone. ||  || DeployedModel namedtuple; holds together the values needed to train multiple || clones: ||   * train_op: An operation that run the optimizer training op and include ||     all the update ops created by `model_fn`. Present only if an optimizer ||     was specified. ||   * summary_op: An operation that run the summaries created by `model_fn` ||     and process_gradients. ||   * total_loss: A `Tensor` that contains the sum of all losses created by ||     `model_fn` plus the regularization losses. ||   * clones: List of `Clone` tuples returned by `create_clones()`. ||  || DeploymentConfig parameters: ||   * num_clones: Number of model clones to deploy in each replica. ||   * clone_on_cpu: True if clones should be placed on CPU. ||   * replica_id: Integer.  Index of the replica for which the model is ||       deployed.  Usually 0 for the chief replica. ||   * num_replicas: Number of replicas to use. ||   * num_ps_tasks: Number of tasks for the `ps` job. 0 to not use replicas. ||   * worker_job_name: A name for the worker job. ||   * ps_job_name: A name for the parameter server job. ||  || TODO(sguada): ||   - describe side effect to the graph. ||   - what happens to summaries and update_ops. ||   - which graph collections are altered. ||   - write a tutorial on how to use this. ||   - analyze the possibility of calling deploy more than once. ||  ||  || \""\""\""",https://github.com/sshleifer/object_detection_kitti/commit/a5c4fd06d21e85a231ec05cc5305478a6c2d6a73,Yes
30,roscisz/TensorHive,tensorhive/core/task_nursery.py,e1d17035b7a07025eabb4154f4c7885c95b21cfa,"\""\""\""TODO Implement controller ||  || Example request with tasks to the API: || { ||     'userId': 20; ||     'commandTemplate': 'CUDA_VISIBLE_DEVICES={CVD} train.py --task-id {TID}'; ||     'values': [ ||         {'hostname': 'galileo'; 'CVD': 0; 'TID': 'ps'}; ||         {'hostname': 'galileo'; 'CVD': 1; 'TID': 'worker'}; ||         {'hostname': 'galileo'; 'CVD': 1; 'TID': 'worker'}; ||         {'hostname': 'galileo'; 'CVD': 1; 'TID': 'worker'}; ||     ] || } || \""\""\""",https://github.com/roscisz/TensorHive/commit/e1d17035b7a07025eabb4154f4c7885c95b21cfa,Yes
31,IlyaGusev/summarus,summarus/seq2seq.py,62af391e8d72618d376d07e85258724c54b18bdf,TODO: Run beam search whenever self.training is False so that we can get,https://github.com/IlyaGusev/summarus/commit/62af391e8d72618d376d07e85258724c54b18bdf,Yes
32,spallas/time-attention,data_loader.py,7801b7353a4aa12f424b959009e9cd47946bb5c9,TODO(xhebraj) implement return of train\/test\/validation,https://github.com/spallas/time-attention/commit/7801b7353a4aa12f424b959009e9cd47946bb5c9,Yes
33,wouterdewinter/deep-hive,server/server.py,ad644dd2d7fc0c2cfca0f0bb80ac45e5f3006090,@todo only pick training images!!!,https://github.com/wouterdewinter/deep-hive/commit/ad644dd2d7fc0c2cfca0f0bb80ac45e5f3006090,Yes
34,gmontamat/gentun,gentun/models/keras_models.py,9df97b50e01a7207fc0d08f2175fa5099654f45f,TODO: cross-validations or at least train\/test split,https://github.com/gmontamat/gentun/commit/9df97b50e01a7207fc0d08f2175fa5099654f45f,Yes
35,mycrazycracy/tf-kaldi-speaker,egs/voxceleb/v1/nnet/lib/train_mt.py,c5ccc12ea32927933eec7169a3b9fe5a51405b68,TODO: Change the model name to train different models,https://github.com/mycrazycracy/tf-kaldi-speaker/commit/c5ccc12ea32927933eec7169a3b9fe5a51405b68,Yes
36,PINTO0309/MobileNetV2-PoseEstimation,tf_pose/network_dsconv.py,5c406756e2850e6b4a626888aa8d0650e0109fd1,.conv(3; 3; 64; 1; 1; name='conv1_2'; trainable=True)     # TODO,https://github.com/PINTO0309/MobileNetV2-PoseEstimation/commit/5c406756e2850e6b4a626888aa8d0650e0109fd1,No
37,wanjinchang/SSH-TensorFlow,lib/model/train_val.py,961b5a3dc1aedd3d70b44552cbdab89a27ef5883,Needs to restore the other hyper-parameters\/states for training; (TODO xinlei) I have,https://github.com/wanjinchang/SSH-TensorFlow/commit/961b5a3dc1aedd3d70b44552cbdab89a27ef5883,No
38,oroszgy/spacy-hungarian-models,src/model_builder/ner.py,82b6286d1e731bd5dd50ce6e00b9055f4b30af6b,FIXME: pre-train the model,https://github.com/oroszgy/spacy-hungarian-models/commit/82b6286d1e731bd5dd50ce6e00b9055f4b30af6b,Yes
39,phohenecker/pytorch-transformer,examples/overfitting_test.py,e80dad100f507b1dcb056e719391408ca433ec32,"\""\""\""An implementation of the overfitting test for the Transformer model. ||  || A simple test; which often signifies bugs in the implementation of a model; is the overfitting test. To that end; the || considered model is trained and evaluated on the same tiny dataset; which it should be able to overfit easily. || Therefore; the final model should yield very high probabilities for the desired target values. If this is not the case; || however; then there is probably something wrong with the tested model and\/or its implementation. ||  || TODO: explain a bit more || \""\""\""",https://github.com/phohenecker/pytorch-transformer/commit/e80dad100f507b1dcb056e719391408ca433ec32,No
40,andreasvc/disco-dop,discodop/treebank.py,b7841627d884f5e6536f6f4aabd63b181ce83c1a,FIXME: for 'rest' to be able to contain parens; would need constraint,https://github.com/andreasvc/disco-dop/commit/b7841627d884f5e6536f6f4aabd63b181ce83c1a,Yes
41,Angzz/panoptic-fpn-gluon,tests/unittests/test_utils_segmentation.py,7caee8e1cb994730efa849cd10603c1294e2b759,TODO FIXME: change it to ADE20K dataset and pretrained model,https://github.com/Angzz/panoptic-fpn-gluon/commit/7caee8e1cb994730efa849cd10603c1294e2b759,Yes
42,Erotemic/netharn,netharn/fit_harn.py,54bb6c1f371c12649df97ed5b2c5f4710e97bd0a,"\""\""\"" || CommandLine: ||     python ~\/code\/netharn\/netharn\/fit_harn.py __doc__ ||  || Notes: ||     when profiling ensure CUDA_LAUNCH_BLOCKING=1 ||  || Notes: ||     to use; your training session must have the concept of: ||         * epochs ||         * batch_size ||         * xpu ||         * train \/ validation datasets ||  ||     or better yet: ||         * a model ||         * a criterion ||         * an optimizer ||  || TODO: ||     [ ] - output \""glance\"" curves to disk ||     [x] - move logs to a logs folder. Keep a single master log in the root ||     [ ] - Why didnt the best_snapshot.pt get saved in the most recent yolo run? ||  || Example: ||     >>> import netharn as nh ||     >>> size = 3 ||     >>> max_epoch = 10 ||     >>> datasets = { ||     >>>     'train': nh.data.ToyData2d(size=size; border=1; n=256; rng=0); ||     >>>     'vali': nh.data.ToyData2d(size=size; border=1; n=128; rng=1); ||     >>> } ||     >>> hyper = { ||     >>>     # --- Data First ||     >>>     'datasets'    : datasets; ||     >>>     'nice'        : 'demo'; ||     >>>     'workdir'     : ub.ensure_app_cache_dir('netharn\/demo'); ||     >>>     'loaders'     : {'batch_size': 64}; ||     >>>     'xpu'         : nh.XPU.cast('auto'); ||     >>>     # --- Algorithm Second ||     >>>     'model'       : (nh.models.ToyNet2d; {}); ||     >>>     'optimizer'   : (nh.optimizers.SGD; { ||     >>>         'lr': 0.0001 ||     >>>     }); ||     >>>     'criterion'   : (nh.criterions.CrossEntropyLoss; {}); ||     >>>     #'criterion'   : (nh.criterions.FocalLoss; {}); ||     >>>     'initializer' : (nh.initializers.KaimingNormal; { ||     >>>         'param': 0; ||     >>>     }); ||     >>>     'scheduler'   : (nh.schedulers.ListedLR; { ||     >>>         'points': {0: .0001; 2: .01; 5: .015; 6: .005; 9: .001}; ||     >>>         'interpolate': True; ||     >>>     }); ||     >>>     'dynamics'   : {'batch_step': 4}; ||     >>>     'monitor'     : (nh.Monitor; { ||     >>>         'max_epoch': max_epoch; ||     >>>     }); ||     >>> } ||     >>> harn = FitHarn(hyper) ||     >>> harn.config['use_tqdm'] = 1 ||     >>> harn.initialize(reset='delete') ||     >>> harn.run() || \""\""\""",https://github.com/Erotemic/netharn/commit/54bb6c1f371c12649df97ed5b2c5f4710e97bd0a,No
43,Erotemic/netharn,netharn/fit_harn.py,54bb6c1f371c12649df97ed5b2c5f4710e97bd0a,"\""\""\"" || Notes: ||     when profiling ensure CUDA_LAUNCH_BLOCKING=1 ||  || Notes: ||     to use; your training session must have the concept of: ||         * epochs ||         * batch_size ||         * xpu ||         * train \/ validation datasets ||  ||     or better yet: ||         * a model ||         * a criterion ||         * an optimizer ||  || TODO: ||     [ ] - output \""glance\"" curves to disk ||     [x] - move logs to a logs folder. Keep a single master log in the root ||     [ ] - Why didnt the best_snapshot.pt get saved in the most recent yolo run? ||  || Notes: ||     In the following example we demonstrate how to use netharn to train a model ||     to solve a toy problem. ||  ||     In this toy problem; we do not extend the nh.FitHarn object; so we are ||     using the default behavior of ``run_batch``. The default ``on_batch``; and ||     ``on_epoch`` do nothing; so only loss will be the only measurement of ||     performance. ||  ||     For further examples please see the examples directory. These example show ||     how to extend nh.FitHarn to measure performance wrt a particular problem. ||     The MNIST and CIFAR examples are the most simple. The YOLO example is more ||     complex.  The IBEIS example depends on non-public data \/ software; but can ||     still be useful to look at.  Its complexity is more than CIFAR but less ||     than YOLO. ||  || CommandLine: ||     xdoctest netharn.fit_harn __doc__:0 ||     xdoctest netharn.fit_harn __doc__:0 --progiter ||  || Example: ||     >>> import netharn as nh ||     >>> hyper = nh.HyperParams(**{ ||     >>>     # ================ ||     >>>     # Environment Components ||     >>>     'workdir'     : ub.ensure_app_cache_dir('netharn\/tests\/demo'); ||     >>>     'nice'        : 'demo'; ||     >>>     'xpu'         : nh.XPU.cast('auto'); ||     >>>     # workdir is a directory where intermediate results can be saved ||     >>>     # nice symlinks <workdir>\/fit\/nice\/<nice> -> ..\/runs\/<hashid> ||     >>>     # XPU auto select a gpu if idle and VRAM>6GB else a cpu ||     >>>     # ================ ||     >>>     # Data Components ||     >>>     'datasets'    : {  # dict of plain ol torch.data.Dataset instances ||     >>>         'train': nh.data.ToyData2d(size=3; border=1; n=256; rng=0); ||     >>>         'vali': nh.data.ToyData2d(size=3; border=1; n=128; rng=1); ||     >>>         'test': nh.data.ToyData2d(size=3; border=1; n=128; rng=1); ||     >>>     }; ||     >>>     'loaders'     : {'batch_size': 64}; # DataLoader instances or kw ||     >>>     # ================ ||     >>>     # Algorithm Components ||     >>>     # Note the (cls; kw) tuple formatting ||     >>>     'model'       : (nh.models.ToyNet2d; {}); ||     >>>     'optimizer'   : (nh.optimizers.SGD; { ||     >>>         'lr': 0.0001 ||     >>>     }); ||     >>>     # focal loss is usually better than nh.criterions.CrossEntropyLoss ||     >>>     'criterion'   : (nh.criterions.FocalLoss; {}); ||     >>>     'initializer' : (nh.initializers.KaimingNormal; { ||     >>>         'param': 0; ||     >>>     }); ||     >>>     # these may receive an overhaul soon ||     >>>     'scheduler'   : (nh.schedulers.ListedLR; { ||     >>>         'points': {0: .0001; 2: .01; 5: .015; 6: .005; 9: .001}; ||     >>>         'interpolate': True; ||     >>>     }); ||     >>>     'monitor'     : (nh.Monitor; { ||     >>>         'max_epoch': 10; ||     >>>     }); ||     >>>     # dynamics are a config option that modify the behavior of the main ||     >>>     # training loop. These parameters effect the learned model. ||     >>>     'dynamics'   : {'batch_step': 4}; ||     >>> }) ||     >>> harn = nh.FitHarn(hyper) ||     >>> # non-algorithmic behavior configs (do not change learned models) ||     >>> harn.config['prog_backend'] = 'tqdm' ||     >>> if ub.argflag('--progiter'):  # I prefer progiter (I may be biased) ||     ...     harn.config['prog_backend'] = 'progiter' ||     >>> # start training. ||     >>> harn.initialize(reset='delete') ||     >>> harn.run()  # note: run calls initialize it hasn't already been called. ||     >>> # xdoc: +IGNORE_WANT ||     RESET HARNESS BY DELETING EVERYTHING IN TRAINING DIR ||     Symlink: ...tests\/demo\/fit\/runs\/demo\/keyeewlr -> ...tests\/demo\/fit\/nice\/demo ||     .... already exists ||     .... and points to the right place ||     Initializing tensorboard (dont forget to start the tensorboard server) ||     Model has 824 parameters ||     Mounting ToyNet2d model on CPU ||     Initializing model weights ||      * harn.train_dpath = '...tests\/demo\/fit\/runs\/demo\/keyeewlr' ||      * harn.nice_dpath  = '...tests\/demo\/fit\/nice\/demo' ||     Snapshots will save to harn.snapshot_dpath = '...tests\/demo\/fit\/runs\/demo\/keyeewlr\/torch_snapshots' ||     dont forget to start: ||         tensorboard --logdir ...tests\/demo\/fit\/nice ||     === begin training === ||     epoch lr:0.001 \u2502 vloss: 0.1409 (n_bad_epochs=00; best=0.1409): 100%|\u2588| 10\/10 [00:01<00:00;  9.95it\/s]  0:00<?; ?it\/s] ||     train x64 \u2502 loss:0.147 \u2502: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 8\/8 [00:00<00:00; 130.56it\/s] ||     vali x64 \u2502 loss:0.140 \u2502: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 4\/4 [00:00<00:00; 342.04it\/s] ||     test x64 \u2502 loss:0.140 \u2502: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 4\/4 [00:00<00:00; 342.92it\/s] ||     <BLANKLINE> ||     Maximum harn.epoch reached; terminating ... ||     <BLANKLINE> ||     training completed ||     current lrs: [0.001] ||     harn.train_dpath = '...tests\/demo\/fit\/runs\/demo\/keyeewlr' ||     harn.nice_dpath  = '...tests\/demo\/fit\/nice\/demo' ||     view tensorboard results for this run via: ||         tensorboard --logdir ...tests\/demo\/fit\/nice ||     exiting fit harness. || \""\""\""",https://github.com/Erotemic/netharn/commit/54bb6c1f371c12649df97ed5b2c5f4710e97bd0a,No
